learning_rate,per_device_train_batch_size,num_train_epochs,train_metric,model_class,intermediate_layers,threshold,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_map,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.0001,8,10,accuracy,TagClassifier,"[256, 128, 64, 32]",0.25,0.38035881519317627,0.018556701030927835,0.18668939121172434,0.4383627083439355,0.21120797219673978,0.21999695705338346,0.792,1224.717,154.037,10.0
0.0001,8,10,accuracy,TagClassifier,"[256, 128, 64, 32]",0.35,0.3790581226348877,0.10412371134020619,0.22357285358827247,0.22889390880835653,0.14646513198346142,0.22311222609013318,1.3501,718.44,90.36,10.0
0.0001,8,10,accuracy,TagClassifier,"[256, 128, 64, 32]",0.5,0.3790581226348877,0.06597938144329897,0.13971313295960588,0.0898735847314029,0.09043038715688159,0.22311222609013318,0.779,1245.196,156.612,10.0
0.0001,8,10,accuracy,TagClassifier,"[512, 128, 32]",0.25,0.3653732240200043,0.01443298969072165,0.21571097506894504,0.4880805675870271,0.2516253086832256,0.27206437780136744,0.827,1172.908,147.52,10.0
0.0001,8,10,accuracy,TagClassifier,"[512, 128, 32]",0.35,0.3653732240200043,0.06701030927835051,0.25316488018308536,0.29627407629398006,0.21504889113809028,0.27206437780136744,0.7829,1239.018,155.835,10.0
0.0001,8,10,accuracy,TagClassifier,"[512, 128, 32]",0.5,0.3653732240200043,0.088659793814433,0.20031968120484867,0.13005006097411567,0.14518699395036533,0.27206437780136744,0.845,1147.939,144.38,10.0
0.0001,8,10,accuracy,TagClassifier,"[256, 64, 16]",0.25,0.3860646188259125,0.003092783505154639,0.1701901451953744,0.40985769800566574,0.16370164637163376,0.20914040191891722,0.7581,1279.473,160.923,10.0
0.0001,8,10,accuracy,TagClassifier,"[256, 64, 16]",0.35,0.3860646188259125,0.06494845360824743,0.21286802089361237,0.19877446268327575,0.11374093259972709,0.20914040191891722,0.8093,1198.531,150.743,10.0
0.0001,8,10,accuracy,TagClassifier,"[256, 64, 16]",0.5,0.3860646188259125,0.015463917525773196,0.08351648351648351,0.01568646299238719,0.023596800333050835,0.20914040191891722,0.8093,1198.634,150.756,10.0
0.0001,8,10,f1,TagClassifier,"[256, 128, 64, 32]",0.25,0.3790581226348877,0.01752577319587629,0.19669610026246348,0.4570329625409714,0.22554735866654138,0.22311222609013318,0.788,1230.964,154.822,10.0
0.0001,8,10,f1,TagClassifier,"[256, 128, 64, 32]",0.35,0.3790581226348877,0.10412371134020619,0.22357285358827247,0.22889390880835653,0.14646513198346142,0.22311222609013318,0.803,1207.964,151.929,10.0
0.0001,8,10,f1,TagClassifier,"[256, 128, 64, 32]",0.5,0.3790581226348877,0.06597938144329897,0.13971313295960588,0.0898735847314029,0.09043038715688159,0.22311222609013318,0.8089,1199.13,150.818,10.0
0.0001,8,10,f1,TagClassifier,"[512, 128, 32]",0.25,0.3653732240200043,0.01443298969072165,0.21571097506894504,0.4880805675870271,0.2516253086832256,0.27206437780136744,0.799,1214.016,152.691,10.0
0.0001,8,10,f1,TagClassifier,"[512, 128, 32]",0.35,0.3653732240200043,0.06701030927835051,0.25316488018308536,0.29627407629398006,0.21504889113809028,0.27206437780136744,0.77,1259.741,158.442,10.0
0.0001,8,10,f1,TagClassifier,"[512, 128, 32]",0.5,0.3653732240200043,0.088659793814433,0.20031968120484867,0.13005006097411567,0.14518699395036533,0.27206437780136744,0.8234,1178.063,148.169,10.0
0.0001,8,10,f1,TagClassifier,"[256, 64, 16]",0.25,0.3860646188259125,0.003092783505154639,0.1701901451953744,0.40985769800566574,0.16370164637163376,0.20914040191891722,0.777,1248.399,157.015,10.0
0.0001,8,10,f1,TagClassifier,"[256, 64, 16]",0.35,0.3860646188259125,0.06494845360824743,0.21286802089361237,0.19877446268327575,0.11374093259972709,0.20914040191891722,0.771,1258.112,158.237,10.0
0.0001,8,10,f1,TagClassifier,"[256, 64, 16]",0.5,0.3860646188259125,0.015463917525773196,0.08351648351648351,0.01568646299238719,0.023596800333050835,0.20914040191891722,0.788,1230.936,154.819,10.0
