learning_rate,per_device_train_batch_size,num_train_epochs,train_metric,model_class,num_classes,intermediate_layers,threshold,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_neighborhood_accuracy,eval_map,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[256, 128, 64, 32]",0.25,0.5767192840576172,0.16804123711340208,0.04244791666666667,0.25,0.07257346393588603,0.46804123711340206,0.2504376073883161,0.8156,1189.298,149.582,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[256, 128, 64, 32]",0.35,0.5762003064155579,0.20309278350515464,0.3979806425458599,0.2740210253083714,0.1402403922238598,0.6,0.2585981994268509,0.8424,1151.527,144.831,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[256, 128, 64, 32]",0.5,0.5762003064155579,0.22577319587628866,0.27793294017284226,0.22087984837803,0.1707436174290108,0.6628865979381443,0.2707182759269051,0.8706,1114.163,140.132,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[512, 128, 32]",0.25,0.5744441151618958,0.16907216494845362,0.07035876001393243,0.2508650519031142,0.07444570949185043,0.47216494845360824,0.25040905787716505,0.9595,1010.942,127.149,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[512, 128, 32]",0.35,0.5744441151618958,0.20927835051546392,0.4095485931067415,0.28100861329571986,0.14822866059287154,0.6010309278350515,0.2612003837455116,0.896,1082.575,136.159,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[512, 128, 32]",0.5,0.5744441151618958,0.22474226804123712,0.27535648743026786,0.22107017373057497,0.1670251509799645,0.6670103092783505,0.2702518202988208,0.9006,1077.028,135.461,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[256, 64, 16]",0.25,0.5753999948501587,0.17010309278350516,0.08131117042788967,0.2517301038062284,0.07647104283828933,0.477319587628866,0.2505900285868177,0.8317,1166.334,146.694,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[256, 64, 16]",0.35,0.5753999948501587,0.20412371134020618,0.24851687014608365,0.220085442942186,0.11336753953769445,0.5793814432989691,0.2556296972410052,0.8357,1160.725,145.988,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[256, 64, 16]",0.5,0.5753999948501587,0.2288659793814433,0.28493601228074206,0.22277939177250655,0.17134558020578544,0.6762886597938145,0.2702652140932195,0.8162,1188.431,149.473,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,10,"[256, 128, 64, 32]",0.25,0.5799281597137451,0.061855670103092786,0.01913497461442667,0.1257396449704142,0.016021825396825395,0.17010309278350516,0.12510661993975952,0.8419,1152.122,144.906,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,10,"[256, 128, 64, 32]",0.35,0.5799281597137451,0.0865979381443299,0.11415142716492481,0.12669506216263918,0.04738311994517389,0.22783505154639175,0.1271720907814437,0.8649,1121.567,141.063,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,10,"[256, 128, 64, 32]",0.5,0.5799281597137451,0.11134020618556702,0.1671280427930989,0.1317437729919031,0.08612363145962482,0.27422680412371137,0.13206938075079222,0.8448,1148.264,144.421,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,10,"[512, 128, 32]",0.25,0.5780298709869385,0.060824742268041236,0.007787750791974656,0.125,0.014662027833001988,0.17010309278350516,0.1251846580084695,0.9374,1034.807,130.151,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,10,"[512, 128, 32]",0.35,0.5780298709869385,0.09072164948453608,0.2075030468011304,0.1316643708134822,0.05018582836104734,0.2329896907216495,0.1291639399676868,0.9727,997.233,125.425,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,10,"[512, 128, 32]",0.5,0.5780298709869385,0.11134020618556702,0.1962148563128955,0.13309550228763845,0.08764581024929859,0.2793814432989691,0.13216840232733668,0.9549,1015.763,127.756,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,10,"[256, 64, 16]",0.25,0.5790560841560364,0.061855670103092786,0.01746112929623568,0.1257396449704142,0.016138391138391137,0.17010309278350516,0.1251706816849194,0.946,1025.38,128.965,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,10,"[256, 64, 16]",0.35,0.5790560841560364,0.08247422680412371,0.11829306796126302,0.1238082133689078,0.04306974284632584,0.22989690721649483,0.12675885897794845,0.8697,1115.367,140.283,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,10,"[256, 64, 16]",0.5,0.5790560841560364,0.10206185567010309,0.14088748108791455,0.12303545995901723,0.07452817810752878,0.28144329896907216,0.12994892981234263,0.8402,1154.481,145.203,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,35,"[256, 128, 64, 32]",0.25,0.5766141414642334,0.023711340206185566,0.0008836637467342861,0.037037037037037035,0.0017261435701152014,0.041237113402061855,0.03704250299835704,0.8999,1077.936,135.575,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,35,"[256, 128, 64, 32]",0.35,0.5766141414642334,0.029896907216494847,0.019069607137025883,0.04193304162909026,0.009246808275180148,0.05979381443298969,0.03747084430275899,0.9119,1063.727,133.788,10.0
