learning_rate,per_device_train_batch_size,num_train_epochs,train_metric,model_class,num_classes,intermediate_layers,threshold,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_neighborhood_accuracy,eval_neighborhood_accuracy3,eval_neighborhood_accuracy5,eval_map,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[256, 128, 64, 32]",0.35,0.5673184990882874,0.1979381443298969,0.24749230275699574,0.2171858636022038,0.1043755543676669,0.5958762886597938,1.0,1.0,0.25666015778540185,0.7422,1306.845,164.366,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[256, 128, 64, 32]",0.5,0.5670968890190125,0.2463917525773196,0.27536471101791693,0.2361408205189018,0.1859046757168825,0.7082474226804124,0.9938144329896907,1.0,0.2745685816080297,0.803,1207.931,151.925,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[512, 128, 32]",0.35,0.5661539435386658,0.20927835051546392,0.28149945231210605,0.22643702240170405,0.11928872618527793,0.5917525773195876,1.0,1.0,0.26188223509507824,0.7508,1291.92,162.489,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[512, 128, 32]",0.5,0.5661539435386658,0.2463917525773196,0.2905208488500174,0.23844289296159132,0.18238579770808688,0.7010309278350515,0.9938144329896907,1.0,0.27689040254215225,0.7909,1226.428,154.252,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[256, 64, 16]",0.35,0.5670381784439087,0.20309278350515464,0.27003358710255265,0.22192162939705903,0.11089641435865263,0.588659793814433,1.0,1.0,0.25905246374724455,0.7462,1299.987,163.504,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,5,"[256, 64, 16]",0.5,0.5670381784439087,0.24536082474226803,0.27090551103764626,0.23707652441146107,0.18353159899777977,0.7082474226804124,0.9938144329896907,1.0,0.2747250530315368,0.757,1281.375,161.163,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,35,"[256, 128, 64, 32]",0.35,0.5707700848579407,0.023711340206185566,0.00320216049382716,0.034890353656990745,0.00298536997216469,0.05567010309278351,0.1134020618556701,0.1979381443298969,0.03716828788107752,0.776,1250.0,157.217,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,35,"[256, 128, 64, 32]",0.5,0.5707700848579407,0.029896907216494847,0.015511315811930894,0.03812707286850182,0.01297269948724369,0.08453608247422681,0.19484536082474227,0.3020618556701031,0.03773297823234044,0.8133,1192.659,150.004,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,35,"[512, 128, 32]",0.35,0.5695009231567383,0.023711340206185566,0.0030637254901960784,0.0349213691026827,0.002989049463647199,0.05154639175257732,0.11237113402061856,0.19690721649484536,0.03716032594627664,0.7982,1215.214,152.841,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,35,"[512, 128, 32]",0.5,0.5695009231567383,0.031958762886597936,0.014506396761603191,0.04096751678273417,0.01379583085734654,0.09072164948453608,0.19690721649484536,0.3061855670103093,0.03799889415512051,0.755,1284.756,161.588,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,35,"[256, 64, 16]",0.35,0.5705254673957825,0.026804123711340205,0.05142158862729098,0.038843583305281024,0.007495208609759694,0.05360824742268041,0.1154639175257732,0.1958762886597938,0.03790164579859567,0.804,1206.464,151.741,10.0
0.0001,8,10,neighborhood_accuracy,OrdinalRegressionClassifier,35,"[256, 64, 16]",0.5,0.5705254673957825,0.04020618556701031,0.04684654261860144,0.047223716678767916,0.02450688246600854,0.0865979381443299,0.20824742268041238,0.3134020618556701,0.03874752971625355,0.748,1296.798,163.102,10.0
0.0001,8,10,accuracy,OrdinalRegressionClassifier,5,"[256, 128, 64, 32]",0.35,0.5670968890190125,0.2020618556701031,0.2516818989591267,0.22104443641460286,0.10965637312823935,0.5876288659793815,1.0,1.0,0.25806917543680447,0.7768,1248.669,157.049,10.0
0.0001,8,10,accuracy,OrdinalRegressionClassifier,5,"[256, 128, 64, 32]",0.5,0.5670968890190125,0.2463917525773196,0.27536471101791693,0.2361408205189018,0.1859046757168825,0.7082474226804124,0.9938144329896907,1.0,0.2745685816080297,0.729,1330.59,167.353,10.0
0.0001,8,10,accuracy,OrdinalRegressionClassifier,5,"[512, 128, 32]",0.35,0.5661539435386658,0.20927835051546392,0.28149945231210605,0.22643702240170405,0.11928872618527793,0.5917525773195876,1.0,1.0,0.26188223509507824,0.775,1251.612,157.419,10.0
0.0001,8,10,accuracy,OrdinalRegressionClassifier,5,"[512, 128, 32]",0.5,0.5661539435386658,0.2463917525773196,0.2905208488500174,0.23844289296159132,0.18238579770808688,0.7010309278350515,0.9938144329896907,1.0,0.27689040254215225,0.7417,1307.841,164.491,10.0
0.0001,8,10,accuracy,OrdinalRegressionClassifier,5,"[256, 64, 16]",0.35,0.5670381784439087,0.20309278350515464,0.27003358710255265,0.22192162939705903,0.11089641435865263,0.588659793814433,1.0,1.0,0.25905246374724455,0.76,1276.316,160.526,10.0
0.0001,8,10,accuracy,OrdinalRegressionClassifier,5,"[256, 64, 16]",0.5,0.5670381784439087,0.24536082474226803,0.27090551103764626,0.23707652441146107,0.18353159899777977,0.7082474226804124,0.9938144329896907,1.0,0.2747250530315368,0.729,1330.551,167.348,10.0
