learning_rate,per_device_train_batch_size,num_train_epochs,train_metric,model_class,intermediate_layers,threshold,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_map,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.0001,8,10,accuracy,TagClassifier,"[256, 128, 64, 32]",0.25,0.39223626255989075,0.002061855670103093,0.25593790998175725,0.37299843276732014,0.1384447312158087,0.1983956834872443,0.8512,1139.607,143.332,10.0
0.0001,8,10,accuracy,TagClassifier,"[256, 128, 64, 32]",0.35,0.38678574562072754,0.07835051546391752,0.13168165999086132,0.18179493848870895,0.08366988560967445,0.20737626687907426,0.8807,1101.415,138.529,10.0
0.0001,8,10,accuracy,TagClassifier,"[256, 128, 64, 32]",0.5,0.38678574562072754,0.03814432989690722,0.10877712031558187,0.051551494384161435,0.049161506707946334,0.20737626687907426,0.8997,1078.15,135.602,10.0
0.0001,8,10,accuracy,TagClassifier,"[512, 128, 32]",0.25,0.37853172421455383,0.008247422680412371,0.1958897863464339,0.44395051601819235,0.21412620133644983,0.23538692175796946,0.8767,1106.461,139.163,10.0
0.0001,8,10,accuracy,TagClassifier,"[512, 128, 32]",0.35,0.37853172421455383,0.0731958762886598,0.2300053873211282,0.24332300448777028,0.15980236735896863,0.23538692175796946,0.9207,1053.567,132.511,10.0
0.0001,8,10,accuracy,TagClassifier,"[512, 128, 32]",0.5,0.37853172421455383,0.0865979381443299,0.2928524055310878,0.0986202132491947,0.08817325347113028,0.23538692175796946,0.8497,1141.644,143.588,10.0
0.0001,8,10,accuracy,TagClassifier,"[256, 64, 16]",0.25,0.39543232321739197,0.0,0.1304742492535646,0.3835216451042592,0.13407132504206767,0.18214553506312975,0.8011,1210.761,152.281,10.0
0.0001,8,10,accuracy,TagClassifier,"[256, 64, 16]",0.35,0.39543232321739197,0.09690721649484536,0.1680689344643046,0.17591333947786553,0.07261244538348013,0.18214553506312975,0.8451,1147.744,144.355,10.0
0.0001,8,10,accuracy,TagClassifier,"[256, 64, 16]",0.5,0.39543232321739197,0.012371134020618556,0.03932835820895522,0.023320196097279634,0.028711716091395233,0.18214553506312975,0.8061,1203.25,151.337,10.0
0.0001,8,10,f1,TagClassifier,"[256, 128, 64, 32]",0.25,0.38678574562072754,0.016494845360824743,0.1479286801412302,0.4091260439579081,0.15575761933328192,0.20737626687907426,0.8141,1191.451,149.853,10.0
0.0001,8,10,f1,TagClassifier,"[256, 128, 64, 32]",0.35,0.38678574562072754,0.07835051546391752,0.13168165999086132,0.18179493848870895,0.08366988560967445,0.20737626687907426,0.8382,1157.279,145.555,10.0
0.0001,8,10,f1,TagClassifier,"[256, 128, 64, 32]",0.5,0.38678574562072754,0.03814432989690722,0.10877712031558187,0.051551494384161435,0.049161506707946334,0.20737626687907426,0.8257,1174.749,147.752,10.0
0.0001,8,10,f1,TagClassifier,"[512, 128, 32]",0.25,0.37853172421455383,0.008247422680412371,0.1958897863464339,0.44395051601819235,0.21412620133644983,0.23538692175796946,0.938,1034.116,130.064,10.0
0.0001,8,10,f1,TagClassifier,"[512, 128, 32]",0.35,0.37853172421455383,0.0731958762886598,0.2300053873211282,0.24332300448777028,0.15980236735896863,0.23538692175796946,1.2145,798.701,100.455,10.0
0.0001,8,10,f1,TagClassifier,"[512, 128, 32]",0.5,0.37853172421455383,0.0865979381443299,0.2928524055310878,0.0986202132491947,0.08817325347113028,0.23538692175796946,1.4739,658.128,82.775,10.0
0.0001,8,10,f1,TagClassifier,"[256, 64, 16]",0.25,0.39543232321739197,0.0,0.1304742492535646,0.3835216451042592,0.13407132504206767,0.18214553506312975,0.8442,1149.083,144.524,10.0
0.0001,8,10,f1,TagClassifier,"[256, 64, 16]",0.35,0.39543232321739197,0.09690721649484536,0.1680689344643046,0.17591333947786553,0.07261244538348013,0.18214553506312975,0.8151,1189.967,149.666,10.0
0.0001,8,10,f1,TagClassifier,"[256, 64, 16]",0.5,0.39543232321739197,0.012371134020618556,0.03932835820895522,0.023320196097279634,0.028711716091395233,0.18214553506312975,0.9057,1071.02,134.706,10.0
